,fips,year,MeanLifeExpectency,Estimated
0,1001,2015,76.00377802,75.12195232062341
1,1003,2015,77.88349182,76.77218647766918
2,1005,2015,75.06732285,75.13940712733361
3,1007,2015,73.92924061,74.68049409052344
4,1009,2015,75.40457954,74.48533267324018
5,1011,2015,73.99425874,74.58688789741005
6,1013,2015,73.87470978,74.21848635304208
7,1015,2015,73.49148982,74.04809548369785
8,1017,2015,74.35584505,75.6820416037696
9,1019,2015,74.38692694,74.59588426798517
10,1021,2015,74.18460421,75.52634759858137
11,1023,2015,74.40791252,73.9481405229539
12,1025,2015,75.06008524,73.91927153048132
13,1027,2015,74.54335058,74.90729339058613
14,1029,2015,73.98680406,74.26423032131027
15,1031,2015,76.36053914,75.52345208637216
16,1033,2015,74.43718001,74.36995751843268
17,1035,2015,73.53477788,73.96367410882084
18,1037,2015,75.17085428,75.30691531576727
19,1039,2015,74.525813,74.44547721168115
20,1041,2015,74.34613822,74.51585951455183
21,1043,2015,74.59461189,74.37618396143361
22,1045,2015,75.89558538,75.51304707607054
23,1047,2015,72.08226226,73.13939516037313
24,1049,2015,74.70824658,74.8451032980531
25,1051,2015,75.7371837,75.20663107216272
26,1053,2015,73.46836601,74.00379042442074
27,1055,2015,73.19554433,73.9301218119126
28,1057,2015,73.94310456,74.28530665052833
29,1059,2015,73.58923594,74.13525176416675
30,1061,2015,74.65708475,75.1765019933355
31,1063,2015,74.25383495,74.3375759466867
32,1065,2015,73.9653853,74.19909972393398
33,1067,2015,75.61903495,75.34389846993042
34,1069,2015,76.33824672,75.37804300560484
35,1071,2015,73.48430457,74.30379593614421
36,1073,2015,74.80656467,74.84825178494609
37,1075,2015,74.4774859,74.60422631232547
38,1077,2015,75.99924082,75.18597150122964
39,1079,2015,73.70660293,74.2987364597084
40,1081,2015,77.5898607,76.52628065296392
41,1083,2015,77.38948218,75.88714947459772
42,1085,2015,72.06017976,72.95777385055499
43,1087,2015,73.21310861,74.42378496304623
44,1089,2015,77.54219455,75.25610542340954
45,1091,2015,73.85665442,73.81734566389586
46,1093,2015,74.19292343,74.14274085175587
47,1095,2015,74.07789687,74.23680043797512
48,1097,2015,74.93168599,75.82642593113488
49,1099,2015,74.67977517,74.12883019524071
50,1101,2015,75.94576373,74.87833080896009
51,1103,2015,75.42401947,74.8921452166973
52,1105,2015,72.57194255,74.41433210979602
53,1107,2015,74.27899805,74.40235251130336
54,1109,2015,75.17132434,74.76615762778438
55,1111,2015,74.34832874,74.60638653885663
56,1113,2015,73.99558538,75.90081060565534
57,1115,2015,74.94012221,74.4126584542002
58,1117,2015,79.8710141,76.52410318129743
59,1119,2015,74.16817548,74.29632065749706
60,1121,2015,73.40321442,75.59218285929325
61,1123,2015,74.98658407,75.23841792526083
62,1125,2015,76.16859159,75.38030858488227
63,1127,2015,70.49700683,73.20887287974774
64,1129,2015,74.50997244,74.18069994118416
65,1131,2015,71.67066963,72.59780015763539
66,1133,2015,74.32266728,74.09473776035698
67,4001,2015,72.91813634,75.02889620330353
68,4003,2015,78.11998337,78.39968314934346
69,4005,2015,78.93102516,77.30498077053363
70,4007,2015,75.05030839,76.73636831883235
71,4009,2015,77.11009401,77.35925297942961
72,4011,2015,78.45837461,78.12987922177008
73,4013,2015,79.89697128,78.7060555518994
74,4015,2015,75.26045434,78.84819061066497
75,4017,2015,74.55035567,75.96294419197643
76,4019,2015,78.93313024,79.13293561499447
77,4021,2015,80.82599754,79.79558040733414
78,4023,2015,81.7263683,79.49427629219724
79,4025,2015,78.335806,77.57578708817056
80,4012,2015,81.10972177,79.2180784430906
81,4027,2015,81.10972177,80.14272379699803
82,5001,2015,73.62897478,73.21377517611405
83,5003,2015,74.29380841,74.09889338750074
84,5005,2015,76.00251119,75.90123074837553
85,5007,2015,79.30736325,76.39156069628365
86,5009,2015,76.42886202,76.47651685784552
87,5011,2015,73.86263776,74.02689394344965
88,5013,2015,74.83217501,74.17633960810943
89,5015,2015,76.99040351,76.76395111036199
90,5017,2015,73.41890953,72.83011138594173
91,5019,2015,75.43973086,74.94124504578095
92,5021,2015,73.10931665,73.96070734065243
93,5023,2015,76.1318368,75.75342918275183
94,5025,2015,75.14068148,74.58935763500938
95,5027,2015,74.42658795,74.21836308006246
96,5029,2015,75.03075994,75.28561327797105
97,5031,2015,76.149557,74.77599415777797
98,5033,2015,75.78150839,75.37802047121562
99,5035,2015,72.68804946,73.46315059263347
100,5037,2015,73.24200004,73.02708792580552
101,5039,2015,73.70159657,74.15017057016544
102,5041,2015,72.88856748,72.77625523227604
103,5043,2015,75.12637487,74.17461016533498
104,5045,2015,76.6634075,75.95267464883143
105,5047,2015,74.63454185,75.19538048825228
106,5049,2015,75.28698633,75.27173302404752
107,5051,2015,74.66399733,74.98481959300203
108,5053,2015,75.54376314,75.19310843853623
109,5055,2015,74.30637549,74.29089332839926
110,5057,2015,74.93518093,74.61343180731677
111,5059,2015,74.41963456,74.86500012224252
112,5061,2015,74.07772194,74.4479469102795
113,5063,2015,75.51573936,75.12621791278612
114,5065,2015,75.37557016,75.09741843648631
115,5067,2015,73.25302211,74.17269715784973
116,5069,2015,73.41746704,73.6891922576923
117,5071,2015,75.74862524,75.68853477003739
118,5073,2015,74.23738865,74.57602927167687
119,5075,2015,74.00061019,74.23056001727493
120,5077,2015,73.53864551,73.35128071944375
121,5079,2015,75.23362985,74.07285499809309
122,5081,2015,74.0023896,74.14268996152185
123,5083,2015,74.44881291,74.96044136805686
124,5085,2015,75.03946261,75.05448799730111
125,5087,2015,75.49300621,76.34299104024159
